Id,MainTags,MainWordBody,MainWordTitle,CreationYear
7492,['performance'],"['past', 'microsoft', 'web', 'application', 'stress', 'tool', 'pylot', 'stress', 'test', 'web', 'application', 'home', 'page', 'login', 'script', 'site', 'walkthrough', 'ecommerce', 'site', 'item', 'cart', 'checkout', 'homepage', 'handful', 'developer', 'problem', 'scalability', 'problem', 'stage', 'launch', 'url', 'tool', 'microsoft', 'homer', 'microsoft', 'web', 'application', 'stress', 'tool', 'pylot', 'report', 'tool', 'sense', 'hour', 'kind', 'load', 'site', 'bug', 'bottleneck', 'instance', 'web', 'server', 'misconfigurations', 'tool', 'success', 'approach', 'part', 'kind', 'formula', 'number', 'user', 'app', 'number', 'stress', 'test', 'application']","['stress', 'test', 'web', 'application']",2008
3301956,['git'],"['repository', 'store', 'project', 'developer', 'clone', 'checkout', 'master', 'branch', 'branch', 'question', 'branch', 'file', 'directory', 'work', 'tree', 'refsheadsmaster', 'refsheadsotherbranch', 'repository', 'production', 'one', 'file', 'commit', 'git', 'version', 'way', 'default', 'branch', 'bit', 'way', 'directory', 'file']","['git', 'way', 'branch', 'repository']",2010
3305869,['git'],"['repo', 'project', 'file', 'root', 'repo', 'one', 'practice', 'analysis', 'approach']",['gitignores'],2010
3305926,"['python', 'string', 'arrays']","['library', 'function', 'csv', 'string', 'array', 'csv', 'module', 'example', 'filepaths', 'string']","['python', 'csv', 'string']",2010
3309188,"['c', '#', 'list']","['class', 'property', 'list', 'class', 'list', 'property', 'object', 'example', 'order', 'date', 'order', 'cSharp']","['listt', 'property', 'object']",2010
3311774,['git'],"['directory', 'eg', 'file', 'directory', 'git', 'place', 'state', 'repository', 'repository', 'machine', 'git', 'push', 'subversion', 'subversion', 'git', 'equivalent', 'directory', 'git', 'directory', 'work']","['directory', 'git', 'directory', 'file', 'repository']",2010
3311903,"['mysql', 'sql']","['table', 'field', 'row', 'way', 'sql', 'script', 'query', 'duplicate', 'server', 'side', 'script', 'sql', 'query']","['row', 'mysql']",2010
3320400,['java'],"['message', 'web', 'application', 'message', 'shutdown', 'web', 'application', 'jbdc', 'driver', 'web', 'application', 'memory', 'leak', 'jdbc', 'driver', 'help']","['memory', 'leak', 'jdbc', 'driver']",2010
3323001,['python'],"['tail', 'function', 'stack', 'overflow', 'way']","['recursion', 'depth', 'python']",2010
7662,['database'],"['database', 'way', 'item', 'database', 'question', 'table', 'name', 'column', 'name', 'table', 'column', 'case', 'item', 'guideline', 'item', 'database']","['database', 'table', 'column', 'naming', 'convention']",2008
7665,"['bash', 'shell']","['path', 'system', 'path', 'target', 'symlinks', 'bonus', 'point', 'notation', 'time', 'target', 'directory', 'directory', 'getcwd', 'shell', 'script', 'c', 'helper', 'shell', 'tendency', 'existence', 'symlinks', 'user', 'function', 'tmp', 'directory', 'example', 'resolvefoo', 'usersgregtmpbar']","['link', 'shell', 'script']",2008
3304741,"['c', '#']","['type', 'namespace', 'name', 'error', 'cSharp', 'app', 'area', 'code', 'error', 'project', 'reference', 'statement', 'issue', 'idea', 'thing', 'reference', 'statement', 'intellisense', 'namespace', 'project', 'reference', 'namespace', 'hand', 'compile']","['type', 'namespace', 'name']",2010
3318410,['c'],"['preprocessor', 'statement', 'msdn', 'page', 'insight', 'people', 'experience', 'code']","['pack', 'effect']",2010
3324717,['java'],"['url', 'post', 'request', 'server', 'post', 'method', 'post']",['request'],2010
3310186,"['c', '#']","['cSharp', 'property', 'construct', 'access', 'modifier', 'field', 'ceremony', 'field', 'use', 'case', 'class', 'getset', 'logic', 'value', 'property', 'property', 'method', 'logic', 'eg', 'property', 'cSharp', 'reason', 'technicallypossibleyetrarelyusedinactualcode', 'answer', 'us', 'property', 'field', 'field', 'logic', 'value', 'field', 'debug', 'order', 'contract', 'property', 'part', 'serialization', 'variable', 'class']","['reason', 'property', 'cSharp']",2010
3314989,"['javascript', 'html', 'jquery']","['form', 'button', 'jquery', 'uis', 'button', 'button', 'form', 'way', 'back', 'button', 'form', 'javascript', 'intervention', 'button', 'jquery', 'ui', 'link']","['button', 'form']",2010
3326650,['javascript'],"['firebug', 'statement', 'page', 'version', 'script', 'error', 'console', 'top', 'page', 'error', 'way', 'error']","['console', 'error', 'internet', 'explorer']",2010
3327013,"['bash', 'unix', 'shell']","['shell', 'output', 'command', 'flavor', 'unix']",['shell'],2010
3303347,['ruby'],"['ruby', 'object', 'method', 'class', 'instance', 'method', 'way', 'instance']","['class', 'see', 'instance', 'method', 'ruby']",2010
3309484,['ios'],"['button', 'event', 'button']","['uitableviewcell', 'button', 'swipe']",2010
3313532,['java'],"['version', 'compiler', 'jar', 'jar', 'file', 'jdks', 'compatibility', 'compiler', 'version', 'class', 'file', 'jar']","['version', 'javac', 'jar']",2010
3313616,"['c', '#']","['request', 'ii', 'express', 'scott', 'guthrie']","['request', 'ii', 'express']",2010
3319479,['git'],"['developer', 'team', 'configuration', 'configuration', 'information', 'file', 'rake', 'build', 'task', 'developer', 'others', 'devtargets', 'thought', 'file', 'list', 'git', 'file', 'change', 'file', 'default', 'version', 'file', 'developer', 'machine', 'git', 'change', 'list', 'file', 'git', 'status', 'git', 'commit', 'feature']","['file', 'content', 'change']",2010
